location,year,category,rank,query
Global,2011,Falling Searches,1,Myspace
Global,2011,Falling Searches,2,Hi5
Global,2011,Falling Searches,3,Mebo
Global,2011,Falling Searches,4,Nasza Klasa
Global,2011,Falling Searches,5,Netlog
Global,2011,Fastest Rising,1,Rebecca Black
Global,2011,Fastest Rising,2,Google Plus
Global,2011,Fastest Rising,3,Ryan Dunn
Global,2011,Fastest Rising,4,Casey Anthony
Global,2011,Fastest Rising,5,Battlefield 3
Global,2011,Food & Drink,1,Wendy's
Global,2011,Food & Drink,2,Just Eat
Global,2011,Food & Drink,3,Little Caesars
Global,2011,Food & Drink,4,Chick-Fil-A
Global,2011,Food & Drink,5,Allrecipes
Global,2011,Google Maps,1,UTM
Global,2011,Google Maps,2,Siegessaule Berlin
Global,2011,Google Maps,3,Dpt Conforama
Global,2011,Google Maps,4,Wells Fargo
Global,2011,Google Maps,5,Friseur
Global,2011,Google News,1,Fukushima
Global,2011,Google News,2,iPhone 4s
Global,2011,Google News,3,Melania Rea
Global,2011,Google News,4,Salvatore Parolisi
Global,2011,Google News,5,Lamberto Sposini
Global,2011,People,1,Big Meech
Global,2011,People,2,Steve Jobs
Global,2011,People,3,John Dahlback
Global,2011,People,4,Nicki Minaj
Global,2011,People,5,Rihanna
Global,2011,Sports,1,Mayweather vs. Ortiz
Global,2011,Sports,2,SoccerStar
Global,2011,Sports,3,Dan Wheldon
Global,2011,Sports,4,UFC Rio
Global,2011,Sports,5,Marco Simoncelli
Global,2012,Airlines,1,Southwest Airlines
Global,2012,Airlines,2,United Airlines
Global,2012,Airlines,3,American Airlines
Global,2012,Airlines,4,Delta Airlines
Global,2012,Airlines,5,Air France
Global,2012,Athletes,1,Jeremy Lin
Global,2012,Athletes,2,Michael Phelps
Global,2012,Athletes,3,Peyton Manning
Global,2012,Athletes,4,McKayla Maroney
Global,2012,Athletes,5,Junior Seau
Global,2012,Consumer Electronics,1,iPad 3
Global,2012,Consumer Electronics,2,Samsung Galaxy S3
Global,2012,Consumer Electronics,3,iPad Mini
Global,2012,Consumer Electronics,4,Nexus 7
Global,2012,Consumer Electronics,5,Galaxy Note 2
Global,2012,Events,1,Hurricane Sandy
Global,2012,Events,2,Kate Middleton Pictures Released
Global,2012,Events,3,Olympics 2012
Global,2012,Events,4,SOPA Debate
Global,2012,Events,5,Costa Concordia crash
Global,2012,Feature Films,1,The Hunger Games
Global,2012,Feature Films,2,Skyfall
Global,2012,Feature Films,3,Prometheus
Global,2012,Feature Films,4,The Avengers
Global,2012,Feature Films,5,Magic Mike
Global,2012,Google+ Hashtags,1,#SOPA
Global,2012,Google+ Hashtags,2,#Awesome
Global,2012,Google+ Hashtags,3,#Sandy
Global,2012,Google+ Hashtags,4,#IO12
Global,2012,Google+ Hashtags,5,#Curiosity
Global,2012,Images,1,One Direction
Global,2012,Images,2,Selena Gomez
Global,2012,Images,3,iPhone 5
Global,2012,Images,4,Megan Fox
Global,2012,Images,5,Rihanna
Global,2012,People,1,Whitney Houston
Global,2012,People,2,Kate Middleton
Global,2012,People,3,Amanda Todd
Global,2012,People,4,Michael Clarke Duncan
Global,2012,People,5,One Direction
Global,2012,Performing Artists,1,Whitney Houston
Global,2012,Performing Artists,2,Michael Clarke Duncan
Global,2012,Performing Artists,3,One Direction
Global,2012,Performing Artists,4,Donna Summer
Global,2012,Performing Artists,5,Lana Del Rey
Global,2012,Searches,1,Whitney Houston
Global,2012,Searches,2,Gangnam Style
Global,2012,Searches,3,Hurricane Sandy
Global,2012,Searches,4,iPad 3
Global,2012,Searches,5,Diablo 3
Global,2012,TV Shows,1,BBB12
Global,2012,TV Shows,2,Avenida Brasil
Global,2012,TV Shows,3,Here Comes Honey Boo Boo
Global,2012,TV Shows,4,The Voice
Global,2012,TV Shows,5,American Idol
Global,2012,Videos,1,Gangnam Style
Global,2012,Videos,2,Somebody That I Used to Know by Walk off the Earth
Global,2012,Videos,3,KONY 2012
Global,2012,Videos,4,Call Me Maybe featuring Justin Bieber
Global,2012,Videos,5,Obama vs. Romney Epic Rap Battles of History
Global,2013,Athletes,1,Oscar Pistorius
Global,2013,Athletes,2,Aaron Hernandez
Global,2013,Athletes,3,Adrian Peterson
Global,2013,Athletes,4,Kevin Ware
Global,2013,Athletes,5,Lance Armstrong
Global,2013,Consumer Electronics,1,iPhone 5s
Global,2013,Consumer Electronics,2,Samsung Galaxy S4
Global,2013,Consumer Electronics,3,PlayStation 4
Global,2013,Consumer Electronics,4,Xbox One
Global,2013,Consumer Electronics,5,Nexus 5
Global,2013,Events,1,Boston Marathon
Global,2013,Events,2,Typhoon Haiyan
Global,2013,Events,3,Government Shutdown
Global,2013,Events,4,2014 FIFA World Cup
Global,2013,Events,5,Chinese New Year
Global,2013,Google+ Hashtags,1,#Boston
Global,2013,Google+ Hashtags,2,#BreakingBad
Global,2013,Google+ Hashtags,3,#TyphoonHaiyan
Global,2013,Google+ Hashtags,4,#MileyCryus
Global,2013,Google+ Hashtags,5,#Pope
Global,2013,Movies,1,Man of Steel
Global,2013,Movies,2,Iron Man 3
Global,2013,Movies,3,World War Z
Global,2013,Movies,4,Django Unchained
Global,2013,Movies,5,Despicable Me 2
Global,2013,People,1,Nelson Mandela
Global,2013,People,2,Paul Walker
Global,2013,People,3,Malala Yousafzai
Global,2013,People,4,James Gandolfini
Global,2013,People,5,Miley Cyrus
Global,2013,Performing Artists,1,Cory Monteith
Global,2013,Performing Artists,2,Amanda Bynes
Global,2013,Performing Artists,3,James Gandolfini
Global,2013,Performing Artists,4,Charlie Hunnam
Global,2013,Performing Artists,5,Robin Thicke
Global,2013,Top Trending,1,Nelson Mandela
Global,2013,Top Trending,2,Paul Walker
Global,2013,Top Trending,3,iPhone 5s
Global,2013,Top Trending,4,Cory Monteith
Global,2013,Top Trending,5,Harlem Shake
Global,2013,TV Shows,1,Under The Dome
Global,2013,TV Shows,2,Defiance
Global,2013,TV Shows,3,Big Brother 15
Global,2013,TV Shows,4,Agents of S.H.I.E.L.D.
Global,2013,TV Shows,5,Here Comes Honey Boo Boo
Global,2013,YouTube Videos,1,Ylvis - The Fox (What Does the Fox Say?)
Global,2013,YouTube Videos,2,Harlem Shake (Original Army Edition)
Global,2013,YouTube Videos,3,How Animals Eat Their Food | MisterEpicMann
Global,2013,YouTube Videos,4,Baby&Me / The New Evian Film
Global,2013,YouTube Videos,5,Miley Cyrus - Wrecking Ball (Chatroulette Version)
Global,2014,Searches,1,Robin Williams
Global,2014,Searches,2,World Cup
Global,2014,Searches,3,Ebola
Global,2014,Searches,4,Malaysia Airlines
Global,2014,Searches,5,ALS Ice Bucket Challenge
Global,2014,People,1,Jennifer Lawrence
Global,2014,People,2,Kim Kardashian
Global,2014,People,3,Julie Gayet
Global,2014,People,4,Tracy Morgan
Global,2014,People,5,Renee Zellweger
Global,2014,Athletes,1,James Rodriguez
Global,2014,Athletes,2,Michael Schumacher
Global,2014,Athletes,3,Ray Rice
Global,2014,Athletes,4,Luis Suarez
Global,2014,Athletes,5,Neymar da Silva Santos
Global,2014,Consumer Electronics,1,iPhone 6
Global,2014,Consumer Electronics,2,Samsung Galaxy S5
Global,2014,Consumer Electronics,3,Nexus 6
Global,2014,Consumer Electronics,4,Moto G
Global,2014,Consumer Electronics,5,Samsung Note 4
Global,2014,Global News,1,Ebola
Global,2014,Global News,2,ISIS
Global,2014,Global News,3,Malaysia Airlines
Global,2014,Global News,4,Crimea / Ukraine
Global,2014,Global News,5,Ferguson
Global,2014,Google Doodles of 2014,1,World Cup 2014 - Watching the game while the boss is away
Global,2014,Google Doodles of 2014,2,2014 Winter Olympics
Global,2014,Google Doodles of 2014,3,Rubik's Cube
Global,2014,Google Doodles of 2014,4,Philae Robotic Lander
Global,2014,Google Doodles of 2014,5,Nelson Mandela
Global,2014,Loss,1,Robin Williams
Global,2014,Loss,2,Philip Seymour Hoffman
Global,2014,Loss,3,Peaches Geldof
Global,2014,Loss,4,Shirley Temple
Global,2014,Loss,5,Maya Angelou
Global,2014,World Cup Matches,1,Brazil vs Germany
Global,2014,World Cup Matches,2,Germany vs Argentina
Global,2014,World Cup Matches,3,Brazil vs Chile
Global,2014,World Cup Matches,4,Argentina vs Belgium
Global,2014,World Cup Matches,5,Brazil vs Croatia
Global,2014,YouTube Videos,1,Mutant Giant Spider Dog (SA Wardega)
Global,2014,YouTube Videos,2,"Nike Football: Winner Stays. ft. Ronaldo, Neymar Jr., Rooney, Ibrahimović, Iniesta & more"
Global,2014,YouTube Videos,3,FIRST KISS
Global,2014,YouTube Videos,4,The Voice IT | Serie 2 | Blind 2 | Suor Cristina Scuccia - #TEAMJ-AX
Global,2014,YouTube Videos,5,iPhone 6 Plus Bend Test
Global,2015,Searches,1,Lamar Odom
Global,2015,Searches,2,Charlie Hebdo
Global,2015,Searches,3,Agar.io
Global,2015,Searches,4,Jurassic World
Global,2015,Searches,5,Paris
Global,2015,Global News,1,Charlie Hebdo
Global,2015,Global News,2,Paris
Global,2015,Global News,3,Hurricane Patricia
Global,2015,Global News,4,Isis
Global,2015,Global News,5,Nepal
Global,2015,People,1,Lamar Odom
Global,2015,People,2,Ronda Rousey
Global,2015,People,3,Caitlyn Jenner
Global,2015,People,4,Adele
Global,2015,People,5,Charlie Sheen
Global,2015,Global Sporting Events,1,Copa America
Global,2015,Global Sporting Events,2,Wimbledon
Global,2015,Global Sporting Events,3,Tour de France
Global,2015,Global Sporting Events,4,Rugby World Cup
Global,2015,Global Sporting Events,5,Super Bowl
Global,2015,Movies,1,Jurassic World
Global,2015,Movies,2,Furious 7
Global,2015,Movies,3,American Sniper
Global,2015,Movies,4,Fifty Shade of Grey
Global,2015,Movies,5,Minions
Global,2015,TV Shows,1,Big Brother Brazil
Global,2015,TV Shows,2,Jessica Jones
Global,2015,TV Shows,3,Bigg Boss
Global,2015,TV Shows,4,Fear the Walking Dead
Global,2015,TV Shows,5,Better Call Saul
Global,2015,Loss,1,Bobbi Kristina
Global,2015,Loss,2,Cristiano Araujo
Global,2015,Loss,3,Christopher Lee
Global,2015,Loss,4,Sandra Bland
Global,2015,Loss,5,Stuart Scott
Global,2015,Music Artists,1,Adele
Global,2015,Music Artists,2,Sia
Global,2015,Music Artists,3,Eagles of Death Metal
Global,2015,Music Artists,4,Sam Smith
Global,2015,Music Artists,5,Meghan Trainor
Global,2015,Consumer Tech,1,iPhone 6S
Global,2015,Consumer Tech,2,Samsung Galaxy S6
Global,2015,Consumer Tech,3,Apple Watch
Global,2015,Consumer Tech,4,iPad Pro
Global,2015,Consumer Tech,5,LG G4
Global,2016,Searches,1,Pokémon Go
Global,2016,Searches,2,iPhone 7
Global,2016,Searches,3,Donald Trump
Global,2016,Searches,4,Prince
Global,2016,Searches,5,Powerball
Global,2016,Global News,1,US Election
Global,2016,Global News,2,Olympics
Global,2016,Global News,3,Brexit
Global,2016,Global News,4,Orlando Shooting
Global,2016,Global News,5,Zika Virus
Global,2016,People,1,Donald Trump
Global,2016,People,2,Hillary Clinton
Global,2016,People,3,Michael Phelps
Global,2016,People,4,Melania Trump
Global,2016,People,5,Simone Biles
Global,2016,Consumer Tech,1,iPhone 7
Global,2016,Consumer Tech,2,Freedom 251
Global,2016,Consumer Tech,3,iPhone SE
Global,2016,Consumer Tech,4,iPhone 6S
Global,2016,Consumer Tech,5,Google Pixel
Global,2016,Global Sporting Events,1,Rio Olympics
Global,2016,Global Sporting Events,2,World Series
Global,2016,Global Sporting Events,3,Tour de France
Global,2016,Global Sporting Events,4,Wimbledon
Global,2016,Global Sporting Events,5,Australian Open
Global,2016,Losses,1,Prince
Global,2016,Losses,2,David Bowie
Global,2016,Losses,3,Christina Grimmie
Global,2016,Losses,4,Alan Rickman
Global,2016,Losses,5,Muhammad Ali
Global,2016,Movies,1,Deadpool
Global,2016,Movies,2,Suicide Squad
Global,2016,Movies,3,The Revenant
Global,2016,Movies,4,Captain America Civil War
Global,2016,Movies,5,Batman v Superman
Global,2016,Musicians,1,Céline Dion
Global,2016,Musicians,2,Kesha
Global,2016,Musicians,3,Michael Bublé
Global,2016,Musicians,4,Creed
Global,2016,Musicians,5,'ディーン フジオカ (Dean Fujioka)
Global,2016,TV Shows,1,Stranger Things
Global,2016,TV Shows,2,Westworld
Global,2016,TV Shows,3,Luke Cage
Global,2016,TV Shows,4,Game of Thrones
Global,2016,TV Shows,5,Black Mirror
Global,2017,Searches,1,Hurricane Irma
Global,2017,Searches,2,iPhone 8
Global,2017,Searches,3,iPhone X
Global,2017,Searches,4,Matt Lauer
Global,2017,Searches,5,Meghan Markle
Global,2017,People,1,Matt Lauer
Global,2017,People,2,Meghan Markle
Global,2017,People,3,Nadia Toffa
Global,2017,People,4,Harvey Weinstein
Global,2017,People,5,Kevin Spacey
Global,2017,Global News,1,Hurricane Irma
Global,2017,Global News,2,Bitcoin
Global,2017,Global News,3,Las Vegas Shooting
Global,2017,Global News,4,North Korea
Global,2017,Global News,5,Solar Eclipse
Global,2017,Actors,1,Meghan Markle
Global,2017,Actors,2,Kevin Spacey
Global,2017,Actors,3,Gal Gadot
Global,2017,Actors,4,Louis C.K.
Global,2017,Actors,5,Bill Skarsgård
Global,2017,Consumer Tech,1,iPhone 8
Global,2017,Consumer Tech,2,iPhone X
Global,2017,Consumer Tech,3,Nintendo Switch
Global,2017,Consumer Tech,4,Samsung Galaxy S8
Global,2017,Consumer Tech,5,Xbox One X
Global,2017,Elections,1,French election
Global,2017,Elections,2,German federal election
Global,2017,Elections,3,UK election
Global,2017,Elections,4,Uttar Pradesh election
Global,2017,Elections,5,Georgia special election
Global,2017,Global Sporting Events,1,Wimbledon
Global,2017,Global Sporting Events,2,Super Bowl
Global,2017,Global Sporting Events,3,Mayweather vs McGregor Fight
Global,2017,Global Sporting Events,4,Tour de France
Global,2017,Global Sporting Events,5,World Series
Global,2017,How To...,1,How to make slime
Global,2017,How To...,2,How to make solar eclipse glasses
Global,2017,How To...,3,How to buy Bitcoin
Global,2017,How To...,4,How to watch Mayweather vs McGregor
Global,2017,How To...,5,How to make a fidget spinner
Global,2017,Losses,1,Tom Petty
Global,2017,Losses,2,Chester Bennington
Global,2017,Losses,3,Chris Cornell
Global,2017,Losses,4,Bill Paxton
Global,2017,Losses,5,Hugh Hefner
Global,2017,Memes,1,Cash Me Outside Meme
Global,2017,Memes,2,United Airlines Meme
Global,2017,Memes,3,Elf on the Shelf Meme
Global,2017,Memes,4,What in Tarnation Meme
Global,2017,Memes,5,Spongebob Mocking Meme
Global,2017,Movies,1,IT
Global,2017,Movies,2,Wonder Woman
Global,2017,Movies,3,Beauty and the Beast
Global,2017,Movies,4,Logan
Global,2017,Movies,5,Justice League
Global,2017,Musicians and Bands,1,Ariana Grande
Global,2017,Musicians and Bands,2,Linkin Park
Global,2017,Musicians and Bands,3,Lady Gaga
Global,2017,Musicians and Bands,4,Mariah Carey
Global,2017,Musicians and Bands,5,Ed Sheeran
Global,2017,Recipe,1,Chicken breast recipe
Global,2017,Recipe,2,Ground beef recipe
Global,2017,Recipe,3,Poğaça tarifi (Turkish bread recipe)
Global,2017,Recipe,4,French toast recipe
Global,2017,Recipe,5,Kek tarifi (cake recipe)
Global,2017,Songs/Lyrics,1,Despacito
Global,2017,Songs/Lyrics,2,Shape of You
Global,2017,Songs/Lyrics,3,Perfect
Global,2017,Songs/Lyrics,4,Havana
Global,2017,Songs/Lyrics,5,Look What You Made Me Do
Global,2017,TV Shows,1,Stranger Things
Global,2017,TV Shows,2,13 Reasons Why
Global,2017,TV Shows,3,Big Brother Brasil
Global,2017,TV Shows,4,Game of Thrones
Global,2017,TV Shows,5,Iron Fist
Global,2018,Searches,1,World Cup
Global,2018,Searches,2,Avicii
Global,2018,Searches,3,Mac Miller
Global,2018,Searches,4,Stan Lee
Global,2018,Searches,5,Black Panther
Global,2018,News,1,World Cup
Global,2018,News,2,Hurricane Florence
Global,2018,News,3,Mega Millions Result
Global,2018,News,4,Royal Wedding
Global,2018,News,5,Election Results
Global,2018,People,1,Meghan Markle
Global,2018,People,2,Demi Lovato
Global,2018,People,3,Sylvester Stallone
Global,2018,People,4,Logan Paul
Global,2018,People,5,Khloé Kardashian
Global,2018,Actors,1,Sylvester Stallone
Global,2018,Actors,2,Logan Paul
Global,2018,Actors,3,Pete Davidson
Global,2018,Actors,4,Bill Cosby
Global,2018,Actors,5,Noah Centineo
Global,2018,Athletes,1,Tristan Thompson
Global,2018,Athletes,2,Alexis Sánchez
Global,2018,Athletes,3,Lindsey Vonn
Global,2018,Athletes,4,Shaun White
Global,2018,Athletes,5,Khabib Nurmagomedov
Global,2018,Loss,1,Avicii
Global,2018,Loss,2,Mac Miller
Global,2018,Loss,3,Stan Lee
Global,2018,Loss,4,Anthony Bourdain
Global,2018,Loss,5,XXXTentacion
Global,2018,Movies,1,Black Panther
Global,2018,Movies,2,Deadpool 2
Global,2018,Movies,3,Venom
Global,2018,Movies,4,Avengers: Infinity War
Global,2018,Movies,5,Bohemian Rhapsody
Global,2018,Musicians and Bands,1,Demi Lovato
Global,2018,Musicians and Bands,2,Cardi B
Global,2018,Musicians and Bands,3,Daniel Küblböck
Global,2018,Musicians and Bands,4,Travis Scott
Global,2018,Musicians and Bands,5,Rick Ross
Global,2018,TV Shows,1,延禧攻略
Global,2018,TV Shows,2,Altered Carbon
Global,2018,TV Shows,3,บุพเพสันนิวาส
Global,2018,TV Shows,4,मोटू पतलू
Global,2018,TV Shows,5,Roseanne
Global,2019,Searches,1,India vs South Africa
Global,2019,Searches,2,Cameron Boyce
Global,2019,Searches,3,Copa America
Global,2019,Searches,4,Bangladesh vs India
Global,2019,Searches,5,iPhone 11
Global,2019,News,1,Copa America
Global,2019,News,2,Notre Dame
Global,2019,News,3,ICC Cricket World Cup
Global,2019,News,4,Hurricane Dorian
Global,2019,News,5,Rugby World Cup
Global,2019,People,1,Antonio Brown
Global,2019,People,2,Neymar
Global,2019,People,3,James Charles
Global,2019,People,4,Jussie Smollett
Global,2019,People,5,Kevin Hart
Global,2019,Actors,1,Jussie Smollett
Global,2019,Actors,2,Kevin Hart
Global,2019,Actors,3,Joaquin Phoenix
Global,2019,Actors,4,Keanu Reeves
Global,2019,Actors,5,Lori Loughlin
Global,2019,Athletes,1,Antonio Brown
Global,2019,Athletes,2,Neymar
Global,2019,Athletes,3,Bryce Harper
Global,2019,Athletes,4,David Ortiz
Global,2019,Athletes,5,Alex Morgan
Global,2019,Movies,1,Avengers: Endgame
Global,2019,Movies,2,Joker
Global,2019,Movies,3,Captain Marvel
Global,2019,Movies,4,Toy Story 4
Global,2019,Movies,5,Aquaman
Global,2019,Passings,1,Cameron Boyce
Global,2019,Passings,2,Nipsey Hussle
Global,2019,Passings,3,Julen
Global,2019,Passings,4,Karl Lagerfeld
Global,2019,Passings,5,Emiliano Sala
Global,2019,Songs,1,Old Town Road
Global,2019,Songs,2,7 Rings
Global,2019,Songs,3,Shallow
Global,2019,Songs,4,Señorita
Global,2019,Songs,5,Memories
Global,2019,TV Shows,1,Game of Thrones
Global,2019,TV Shows,2,Stranger Things
Global,2019,TV Shows,3,Chernobyl
Global,2019,TV Shows,4,When They See Us
Global,2019,TV Shows,5,The Umbrella Academy
Global,2020,Searches,1,Coronavirus
Global,2020,Searches,2,Election results
Global,2020,Searches,3,Kobe Bryant
Global,2020,Searches,4,Zoom
Global,2020,Searches,5,IPL
Global,2020,News,1,Coronavirus
Global,2020,News,2,Election results
Global,2020,News,3,Iran
Global,2020,News,4,Beirut
Global,2020,News,5,Hantavirus
Global,2020,Actors,1,Tom Hanks
Global,2020,Actors,2,Joaquin Phoenix
Global,2020,Actors,3,Amitabh Bachchan
Global,2020,Actors,4,Ricky Gervais
Global,2020,Actors,5,Jada Pinkett Smith
Global,2020,Athletes,1,Ryan Newman
Global,2020,Athletes,2,Michael Jordan
Global,2020,Athletes,3,Tyson Fury
Global,2020,Athletes,4,Tom Brady
Global,2020,Athletes,5,Mike Tyson
Global,2020,Concerts,1,Together At Home concert
Global,2020,Concerts,2,Fire Fight Australia concert
Global,2020,Concerts,3,Garth Brooks drive in concert
Global,2020,Concerts,4,Travis Scott Fortnite concert
Global,2020,Concerts,5,BTS online concert
Global,2020,Games,1,Among Us
Global,2020,Games,2,Fall Guys: Ultimate Knockout
Global,2020,Games,3,Valorant
Global,2020,Games,4,Genshin Impact
Global,2020,Games,5,The Last of Us 2
Global,2020,Loss,1,Kobe Bryant
Global,2020,Loss,2,Naya Rivera
Global,2020,Loss,3,Chadwick Boseman
Global,2020,Loss,4,Sushant Singh Rajput
Global,2020,Loss,5,George Floyd
Global,2020,Lyrics,1,WAP
Global,2020,Lyrics,2,Savage Love
Global,2020,Lyrics,3,GOOBA
Global,2020,Lyrics,4,Skechers
Global,2020,Lyrics,5,Dynamite
Global,2020,Movies,1,Parasite
Global,2020,Movies,2,1917
Global,2020,Movies,3,Black Panther
Global,2020,Movies,4,365 Dni
Global,2020,Movies,5,Contagion
Global,2020,People,1,Joe Biden
Global,2020,People,2,Kim Jong Un
Global,2020,People,3,Boris Johnson
Global,2020,People,4,Kamala Harris
Global,2020,People,5,Tom Hanks
Global,2020,Recipes,1,Dalgona coffee
Global,2020,Recipes,2,Ekmek
Global,2020,Recipes,3,Sourdough bread
Global,2020,Recipes,4,Pizza
Global,2020,Recipes,5,Lahmacun
Global,2020,TV Shows,1,Tiger King
Global,2020,TV Shows,2,Big Brother Brasil
Global,2020,TV Shows,3,Money Heist
Global,2020,TV Shows,4,Cobra Kai
Global,2020,TV Shows,5,The Umbrella Academy
United States,2006,Movie Showtimes,1,Idiocracy Showtimes
United States,2006,Movie Showtimes,2,Cars Showtimes
United States,2006,Movie Showtimes,3,Borat Showtimes
United States,2006,Movie Showtimes,4,Superman Showtimes
United States,2006,Movie Showtimes,5,Jesus Camp Showtimes
United States,2006,Scandals,1,Duke Lacrosse Scandal
United States,2006,Scandals,2,Project Runway Scandal
United States,2006,Scandals,3,Duke Scandal
United States,2006,Scandals,4,Duke Rape Scandal
United States,2006,Scandals,5,Reggie Bush Scandal
United States,2006,Tickets,1,Cheetah Girls Tickets
United States,2006,Tickets,2,Mets Playoff Tickets
United States,2006,Tickets,3,The Fray Tickets
United States,2006,Tickets,4,Bob Seger Tickets
United States,2006,Tickets,5,Chris Brown Tickets
United States,2007,Deaths of 2007,1,Anna Nicole Smith
United States,2007,Deaths of 2007,2,Travis Barker (Rumored)
United States,2007,Deaths of 2007,3,Vince McMahon (Rumored)
United States,2007,Deaths of 2007,4,Chris Benoit
United States,2007,Deaths of 2007,5,Fidel Castro (Rumored)
United States,2007,Diets,1,Weight Watchers
United States,2007,Diets,2,Jenny Craig
United States,2007,Diets,3,Volumetrics
United States,2007,Diets,4,Slim Fast
United States,2007,Diets,5,Atkins Diet
United States,2007,Fitness,1,Pilates
United States,2007,Fitness,2,Bikram Yoga
United States,2007,Fitness,3,Spinning
United States,2007,Fitness,4,Cross Fit
United States,2007,Fitness,5,Zumba
United States,2007,How To,1,How to Kiss
United States,2007,How To,2,How to Draw
United States,2007,How To,3,How to Knit
United States,2007,How To,4,How to Hack
United States,2007,How To,5,How to Dance
United States,2007,Lawsuits,1,Borat Lawsuit
United States,2007,Lawsuits,2,Vonage Lawsuit
United States,2007,Lawsuits,3,iPhone Lawsuit
United States,2007,Lawsuits,4,Facebook Lawsuit
United States,2007,Lawsuits,5,Jamie Gold Lawsuit
United States,2007,Lyrics,1,Umbrella Lyrics (Rihanna)
United States,2007,Lyrics,2,Soulja Boy Lyrics
United States,2007,Lyrics,3,Bubbly Lyrics (Colbie Caillat)
United States,2007,Lyrics,4,Paramore Lyrics
United States,2007,Lyrics,5,Lil Wayne Lyrics
United States,2007,Presidential Campaign,1,Ron Paul
United States,2007,Presidential Campaign,2,Fred Thompson
United States,2007,Presidential Campaign,3,Hilary Clinton
United States,2007,Presidential Campaign,4,Barack Obama
United States,2007,Presidential Campaign,5,John Edwards
United States,2007,Recipes,1,Master Cleanse Recipe
United States,2007,Recipes,2,Ratatouille Recipe
United States,2007,Recipes,3,Lemonade Diet Recipe
United States,2007,Recipes,4,Mojito Recipe
United States,2007,Recipes,5,Zucchini Bread Recipe
United States,2007,Ringtones,1,Mosquito Ringtone
United States,2007,Ringtones,2,24 Ringtone
United States,2007,Ringtones,3,The Office Ringtone
United States,2007,Ringtones,4,Silent Ringtone
United States,2007,Ringtones,5,Crazy Frog Ringtone
United States,2007,What is,1,What Is Love
United States,2007,What is,2,What Is Autism
United States,2007,What is,3,What Is RSS
United States,2007,What is,4,What Is Lupus
United States,2007,What is,5,What Is SAP
United States,2007,Who is,1,Who Is God
United States,2007,Who is,2,Who Is Who
United States,2007,Who is,3,Who Is Lookup
United States,2007,Who is,4,Who Is Jesus
United States,2007,Who is,5,Who Is It
United States,2008,It's the Economy,1,Financial Crisis
United States,2008,It's the Economy,2,Depression
United States,2008,It's the Economy,3,Bailout
United States,2008,It's the Economy,4,Mortgage Crisis
United States,2008,It's the Economy,5,Wall Street
United States,2009,Books,1,Twilight
United States,2009,Books,2,New Moon
United States,2009,Books,3,Eclipse
United States,2009,Books,4,Untamed
United States,2009,Books,5,Democracy in America
United States,2009,Google.com Fastest Falling,1,John McCain
United States,2009,Google.com Fastest Falling,2,Olympics
United States,2009,Google.com Fastest Falling,3,Heath Ledger
United States,2009,Google.com Fastest Falling,4,Barack Obama
United States,2009,Google.com Fastest Falling,5,Sarah Palin
United States,2009,Google.com Fastest Rising,1,Twitter
United States,2009,Google.com Fastest Rising,2,Michael Jackson
United States,2009,Google.com Fastest Rising,3,Facebook
United States,2009,Google.com Fastest Rising,4,Hulu
United States,2009,Google.com Fastest Rising,5,Hi5
United States,2009,Images,1,Lady Gaga
United States,2009,Images,2,New Moon
United States,2009,Images,3,Michael Jackson
United States,2009,Images,4,Megan Fox
United States,2009,Images,5,Selena Gomez
United States,2009,Maps Searches,1,Mount Everest
United States,2009,Maps Searches,2,Laguna Seca
United States,2009,Maps Searches,3,In-n-Out
United States,2009,Maps Searches,4,Grand Canyon
United States,2009,Maps Searches,5,Eiffel Tower
United States,2009,Mobile Searches,1,Twitter
United States,2009,Mobile Searches,2,Michael Jackson
United States,2009,Mobile Searches,3,Facebook
United States,2009,Mobile Searches,4,IMDb
United States,2009,Mobile Searches,5,CTA Bus Tracker
United States,2009,News Searches,1,Swine Flu
United States,2009,News Searches,2,Susan Boyle
United States,2009,News Searches,3,Jon and Kate
United States,2009,News Searches,4,Adam Lambert
United States,2009,News Searches,5,Rihanna (Chris Brown)
United States,2009,Recipes,1,Chili
United States,2009,Recipes,2,Meatloaf
United States,2009,Recipes,3,Cheesecake
United States,2009,Recipes,4,Banana Bread
United States,2009,Recipes,5,Pancake
United States,2011,Baseball,1,Miami Marlins Logo
United States,2011,Baseball,2,MLB Fan Cave
United States,2011,Baseball,3,Manny Ramirez Retires
United States,2011,Baseball,4,Barry Bonds Verdict
United States,2011,Baseball,5,Kimberly Bell
United States,2011,Basketball,1,Kris Humphries Race
United States,2011,Basketball,2,Dallas Mavericks Parade
United States,2011,Basketball,3,Basketball Wives LA
United States,2011,Basketball,4,Heat Vs Mavericks
United States,2011,Basketball,5,Derrick Rose MVP
United States,2011,Cars,1,Hyundai Veloster
United States,2011,Cars,2,Camaro ZL1
United States,2011,Cars,3,Chrysler 200
United States,2011,Cars,4,2012 Honda Civic
United States,2011,Cars,5,Range Rover Evoque
United States,2011,Costumes,1,Angry Birds Costume
United States,2011,Costumes,2,LMFAO Costume
United States,2011,Costumes,3,Flynn Rider Costume
United States,2011,Costumes,4,Charlie Sheen Costume
United States,2011,Costumes,5,Lalaloopsy Costume
United States,2011,Dance Moves,1,The Wobble Dance
United States,2011,Dance Moves,2,Bernie Dance
United States,2011,Dance Moves,3,Cat Daddy Dance
